,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
AZE,42,43,41,20,35,31,39,44,38,45,53,34,38,42,33,40,41,32,40,29,37,43,35,39,30,41,38,33,32,34,35,37,41,32,34,39,38,39,32,37,36,39,39,43,31,42,42,41,35,31,38,39,43,38,29,31,39,33,36,34,43,43,36,36,45,43,38,43,27,38,37,35,33,37,37,42,38,41,41,40,36,42,41,43,35,43,43,47,35,23,22,41,6,38,45,32,38,38,34,34,37,20,38,41,38,36,39,33,38,41,20,37,37,41,21,44,26,40,40,42,39,36,14,38,42,38,37,37,41,41,42,34,43,20,38,36,37,39,41,42,43,39,43,48,34,25,32,28,29,27,32,38,40,43,34,36,33,40,38,24,31,38,20,42,40,38,34,43,43,36,4,45,38,43,29,38,27,36,44,48,39,20,38,46,36,40,41,37,42,31,38,37,40,34,35
BHM,33,32,36,17,34,39,40,33,32,34,34,46,34,36,40,31,34,42,35,28,39,36,34,40,31,32,34,31,31,34,32,36,35,32,32,40,38,42,33,35,34,40,35,36,37,36,33,34,31,37,43,39,35,40,30,31,31,35,34,35,34,35,35,33,33,36,38,34,35,40,33,33,41,43,39,34,32,37,35,35,33,32,35,36,45,35,35,34,35,24,22,35,5,34,32,30,31,35,33,35,35,14,31,32,35,35,35,32,33,35,23,35,37,41,22,31,23,35,33,36,36,35,17,34,35,33,39,33,38,32,35,32,37,21,40,36,39,40,36,33,35,36,34,34,34,34,38,36,30,23,32,36,36,34,36,34,33,32,32,26,28,37,20,35,37,35,39,34,35,33,2,33,37,36,30,34,29,43,36,34,29,22,35,33,34,35,33,39,31,33,42,35,35,34,34
BAH,38,36,45,18,34,31,39,33,36,35,38,34,49,42,31,35,35,31,38,28,36,37,34,40,31,36,38,33,32,33,35,40,35,32,34,39,38,39,36,38,35,38,38,37,33,38,36,35,38,29,38,38,46,37,28,33,33,34,36,35,36,37,37,36,33,36,37,37,26,38,36,35,32,36,36,36,34,41,41,41,44,34,36,36,35,38,46,37,35,22,24,37,6,47,37,32,34,43,32,35,45,16,33,33,37,35,41,32,36,35,20,43,39,38,21,32,24,37,36,45,39,34,13,36,36,36,35,36,41,33,36,42,42,20,38,35,36,39,40,37,37,47,37,39,34,24,30,27,28,25,32,47,40,37,33,37,35,35,33,23,34,39,20,36,41,43,34,36,35,43,3,37,37,41,28,38,28,36,45,40,32,18,38,38,46,34,34,37,34,31,39,38,42,34,36
BNG,44,38,43,18,35,33,43,36,44,41,42,36,42,62,34,36,41,34,48,35,44,41,37,49,36,39,44,39,34,35,43,43,43,33,37,42,52,42,34,40,37,41,42,43,34,43,39,42,37,32,41,46,51,44,29,33,37,36,39,41,43,46,38,42,36,45,49,41,27,45,44,37,35,38,39,41,36,56,53,47,39,42,38,43,37,46,51,40,46,24,26,51,6,42,43,36,36,40,36,38,40,17,34,37,40,42,53,38,43,38,22,39,42,41,22,38,25,47,37,45,43,43,16,52,42,44,38,42,55,37,42,37,57,22,40,42,44,47,48,43,42,43,44,49,41,26,33,29,31,25,34,42,49,43,36,43,40,36,36,26,32,46,21,42,54,40,36,43,42,38,4,40,46,50,31,45,31,38,45,46,34,21,43,44,40,42,45,42,36,33,41,42,48,43,42
BAR,33,31,33,16,33,38,39,30,31,34,33,40,31,34,44,28,33,38,36,26,37,33,34,39,27,31,33,29,31,33,30,34,35,31,31,39,34,41,33,35,35,39,35,34,32,35,32,33,33,38,41,39,32,37,29,30,31,33,34,35,34,34,33,34,31,34,37,33,36,38,35,33,41,40,38,33,30,35,32,32,31,32,32,34,41,34,34,31,33,25,21,33,6,32,29,29,29,33,33,33,31,15,29,32,35,35,33,30,34,32,21,32,35,40,21,30,19,32,31,33,35,35,17,32,33,33,37,33,37,31,33,29,35,19,38,34,37,39,35,32,34,31,33,32,33,34,40,36,32,21,31,32,35,32,33,34,33,29,30,27,29,36,19,33,34,33,39,34,33,31,3,31,36,34,29,34,29,43,35,32,29,22,35,30,30,34,31,37,30,32,40,31,34,34,33
BLR,35,38,34,19,31,29,37,43,37,42,40,31,35,36,28,51,38,29,33,26,33,38,32,37,28,41,34,30,30,30,33,34,37,29,30,35,37,35,28,34,32,35,33,42,30,39,41,38,30,27,34,34,36,35,25,30,35,31,33,31,41,42,32,31,37,41,35,41,24,35,31,30,29,33,33,41,36,37,35,35,32,38,36,42,31,38,37,43,33,20,20,38,6,34,42,31,37,33,31,33,34,17,37,36,34,32,35,28,32,38,18,32,35,37,19,40,22,36,38,36,33,31,12,34,39,35,32,32,36,38,39,30,36,19,35,31,33,35,35,42,39,34,42,48,32,22,28,25,26,25,30,34,35,42,31,33,31,42,38,21,25,37,19,40,37,33,29,40,39,31,3,41,35,36,26,33,25,32,37,43,33,17,33,47,32,37,37,33,37,29,34,34,33,32,33
BEL,37,44,42,21,33,31,50,39,54,68,41,34,35,41,33,38,77,33,40,28,38,45,34,50,29,54,39,33,32,35,34,39,65,33,34,45,48,44,33,40,37,42,39,58,31,51,60,69,34,31,41,41,43,39,29,30,57,33,37,35,71,74,36,33,43,72,42,65,27,43,37,32,33,37,39,62,50,49,42,36,33,64,47,73,34,63,43,40,39,23,21,57,7,39,37,31,53,37,33,35,35,23,50,62,40,36,39,30,38,51,22,37,40,52,21,41,29,41,45,46,40,36,15,38,73,51,37,37,44,47,65,31,41,21,40,35,40,45,42,60,67,40,58,53,35,26,32,27,30,28,34,39,42,52,36,36,39,57,59,24,29,48,21,70,41,36,35,71,67,33,4,37,41,43,29,37,29,40,44,61,31,20,37,47,38,69,64,41,34,30,40,36,38,37,34
BLZ,30,32,33,16,31,37,39,30,31,33,32,42,31,34,38,29,33,45,34,25,38,33,32,39,27,31,33,29,29,33,31,33,34,30,30,39,36,40,31,33,31,39,32,34,34,34,31,33,30,37,43,39,33,40,28,30,31,33,32,33,33,32,31,30,31,35,34,32,35,40,30,31,42,43,39,32,31,35,32,32,30,32,32,35,42,34,33,31,33,24,18,34,5,32,30,29,30,32,32,32,32,15,31,32,34,33,32,31,31,33,22,32,35,40,21,30,21,32,30,35,34,33,17,32,33,33,39,31,36,32,33,28,34,20,39,34,38,39,34,31,33,34,32,32,32,34,38,35,30,22,33,33,34,32,35,32,31,31,32,26,27,35,20,34,35,33,40,33,33,30,3,30,34,34,29,32,28,41,33,32,27,22,33,32,31,35,33,39,28,31,41,32,32,32,32
BEN,39,40,43,19,39,33,43,35,37,41,40,35,38,48,36,33,40,34,61,30,46,42,40,48,29,39,53,33,38,41,40,47,41,39,44,41,46,41,39,43,43,42,52,41,34,41,41,41,41,35,43,46,49,42,35,36,38,38,42,39,42,46,44,48,37,43,51,40,30,44,47,45,37,40,41,40,35,46,44,40,37,39,36,40,36,42,49,38,46,23,23,45,7,40,40,34,36,40,39,41,41,19,37,39,44,45,43,33,52,37,23,42,43,41,22,39,24,41,38,46,43,47,16,45,42,38,39,53,55,38,41,34,47,21,40,38,45,46,43,44,41,41,44,44,44,28,36,31,31,25,38,40,57,42,39,45,34,36,36,25,36,46,22,40,42,43,38,42,43,36,3,38,46,44,31,53,28,38,47,40,33,20,45,43,39,41,40,43,35,33,41,37,47,46,45
BHU,33,26,29,15,28,24,30,29,29,29,29,28,28,35,26,26,28,25,30,36,30,29,29,30,25,25,30,31,29,28,30,29,27,27,28,30,33,29,26,29,29,29,29,28,24,28,26,28,27,23,29,30,29,30,25,25,26,28,29,30,28,29,29,30,28,28,30,27,22,30,30,28,26,28,29,27,25,35,32,31,28,28,27,29,28,30,30,29,29,18,19,31,5,28,30,29,24,28,28,28,29,11,25,27,29,30,31,31,30,27,18,29,30,28,20,26,17,32,26,29,28,30,15,36,29,29,29,29,30,26,29,28,34,15,29,31,30,30,31,26,28,29,27,29,30,21,25,23,25,18,27,30,29,28,28,29,27,26,26,20,24,30,20,28,35,29,26,28,29,28,3,31,30,32,26,29,24,28,29,28,26,17,30,27,28,26,28,30,27,25,28,31,30,30,30
BOL,36,37,38,20,36,34,51,35,36,39,37,39,36,44,37,33,38,38,46,30,58,39,36,56,29,37,41,32,33,36,38,38,40,32,34,50,47,49,31,38,36,46,41,40,39,39,39,39,33,34,46,54,43,49,30,33,35,34,37,37,40,45,36,40,36,41,44,38,31,51,39,33,40,43,47,38,35,44,43,38,35,38,36,40,40,42,46,38,40,21,23,46,5,38,39,33,34,37,35,36,38,18,36,37,39,41,41,32,40,38,22,36,39,48,21,38,25,41,36,40,37,42,15,45,41,37,43,39,46,36,39,33,43,20,48,37,55,56,44,43,41,39,44,44,37,29,35,32,29,27,34,38,45,40,36,37,33,35,36,24,30,42,21,42,43,38,39,41,41,35,2,37,42,41,31,39,26,41,41,37,30,19,39,43,36,40,40,53,34,30,47,37,42,41,41
BOS,38,44,43,22,35,33,41,40,38,46,43,36,37,41,33,38,45,33,42,29,39,52,36,42,31,44,41,33,34,37,35,39,43,35,37,41,40,41,35,38,37,41,41,47,32,43,46,43,35,33,41,39,43,38,31,31,42,34,35,34,44,46,39,37,44,45,42,45,29,40,39,36,34,38,38,46,41,41,41,37,35,43,41,46,35,43,44,40,38,22,23,41,7,38,38,32,41,38,34,37,37,21,41,42,39,38,39,33,39,43,22,38,40,42,21,43,28,42,44,44,39,37,15,39,45,38,37,40,43,45,44,34,41,20,40,35,40,42,41,45,45,40,47,45,36,27,34,29,30,28,34,39,43,48,37,37,35,43,42,23,29,41,21,44,40,36,35,45,47,35,3,40,40,43,30,38,28,37,45,44,34,19,37,45,38,44,42,40,37,32,39,37,41,36,35
BOT,36,34,37,18,38,32,38,33,34,36,35,34,34,37,34,32,34,32,40,29,36,36,43,38,28,33,40,32,36,38,33,39,35,36,37,37,34,37,34,40,39,37,39,35,30,37,34,34,36,33,38,37,36,36,31,33,32,39,38,36,35,35,38,38,34,35,40,35,28,37,37,36,34,36,37,35,32,38,36,34,33,33,32,35,35,36,37,33,38,23,22,35,6,36,33,32,31,33,41,37,36,17,32,33,41,42,35,31,40,35,21,37,41,36,22,33,21,36,32,37,40,42,17,36,35,35,35,40,41,33,35,31,36,19,37,37,36,37,37,34,36,34,35,34,38,27,34,30,31,24,35,35,40,34,39,39,32,32,31,25,31,43,22,35,37,37,33,35,35,33,3,35,42,36,30,38,28,37,39,34,29,20,39,33,33,34,31,36,32,31,36,34,36,40,39
BRA,38,38,48,20,39,36,67,36,48,50,39,40,40,49,39,37,50,39,48,30,56,42,38,80,31,43,43,34,35,39,38,42,53,34,36,60,60,56,35,43,40,50,44,49,41,45,45,50,38,35,49,58,51,53,32,36,41,36,41,39,52,59,40,41,38,56,50,47,32,57,43,36,41,44,50,47,42,61,51,43,37,49,42,55,43,57,50,39,45,22,25,59,6,44,38,33,40,42,37,39,41,19,40,44,42,44,47,32,42,41,23,40,44,62,21,40,27,43,40,48,43,45,15,47,51,47,46,41,55,40,51,36,49,20,51,38,59,62,50,49,52,43,50,54,39,29,36,32,30,28,37,45,50,48,37,40,39,41,42,24,33,56,21,55,50,41,41,51,52,39,4,37,46,45,32,42,29,45,47,50,31,19,42,48,42,54,54,55,34,32,54,38,46,43,43
BRU,31,27,31,17,27,27,30,29,35,29,30,31,31,36,27,28,29,27,29,25,29,31,28,31,39,27,29,32,25,27,32,31,32,27,27,31,36,30,27,29,28,30,30,30,27,31,28,28,26,25,29,29,30,30,24,26,26,29,28,30,29,30,30,28,28,30,32,29,22,30,28,27,27,28,28,29,27,37,38,32,30,28,28,30,30,34,31,30,30,21,21,35,3,31,29,31,27,31,27,29,31,13,26,27,29,29,39,29,28,29,19,30,30,30,18,26,21,33,28,31,31,29,14,32,29,34,28,28,33,27,29,29,36,18,30,34,29,31,36,28,29,32,28,33,28,22,26,24,25,22,25,32,31,30,29,30,36,27,27,22,24,31,16,30,35,30,25,28,29,30,4,30,32,37,26,29,25,29,31,31,27,19,30,28,31,29,33,29,29,27,29,36,30,28,28
BUL,35,46,39,22,32,31,45,38,45,55,41,32,36,39,31,41,54,31,39,25,37,44,33,43,27,60,36,31,31,33,33,36,49,30,31,41,40,41,30,38,35,40,36,56,31,49,57,53,33,31,39,40,41,36,27,30,49,31,34,34,54,57,34,33,42,55,39,57,26,38,34,31,32,36,36,56,44,42,38,36,32,49,43,56,33,50,42,38,35,21,21,47,7,36,36,31,51,36,33,34,34,21,49,50,38,34,37,29,35,48,20,34,39,46,19,44,28,37,46,41,37,35,13,35,54,43,35,35,41,47,50,31,39,20,38,33,37,41,42,58,55,37,58,50,33,25,32,27,28,28,32,37,40,51,34,34,35,55,53,22,26,43,19,54,38,34,33,52,49,32,3,35,37,42,27,36,27,35,43,53,32,18,35,51,35,52,49,38,33,31,39,35,37,34,34
BFO,40,40,42,20,37,32,40,35,36,39,38,34,38,44,33,34,39,33,53,30,41,41,40,43,29,36,56,33,38,40,38,45,39,40,43,39,40,40,38,43,43,40,51,38,32,39,38,38,39,33,42,41,45,39,33,35,36,37,40,37,39,42,42,44,36,40,47,38,28,43,44,44,35,39,39,38,34,42,43,40,37,36,34,39,36,39,45,37,42,22,22,39,7,40,40,34,34,38,38,42,40,18,35,36,44,42,41,33,51,36,21,42,43,38,22,35,23,41,35,43,43,41,16,41,39,36,36,51,51,36,40,34,43,20,39,37,40,43,39,38,39,40,39,39,42,26,34,29,30,25,38,39,53,38,40,45,33,35,34,25,33,46,22,38,40,41,36,40,42,36,3,40,45,41,31,50,27,38,44,38,31,19,43,38,38,38,37,41,35,31,38,37,43,43,41
MYA,36,32,34,17,32,28,34,31,37,32,33,31,33,39,29,30,33,29,33,31,32,33,32,34,32,31,33,42,31,32,36,35,34,31,32,34,38,35,29,35,34,33,34,33,29,33,30,33,31,28,34,34,32,33,27,29,30,32,34,34,33,34,33,32,32,34,34,32,26,35,33,31,29,32,34,31,30,41,40,35,32,32,31,34,32,39,33,33,32,23,23,38,5,33,32,35,30,31,31,33,32,14,30,31,34,33,38,32,33,31,21,35,35,33,20,31,21,37,31,34,34,33,15,37,34,36,33,33,35,31,34,30,39,19,33,38,33,35,39,31,33,34,32,35,32,24,29,26,29,24,32,34,34,32,33,35,35,30,30,24,27,34,20,34,39,32,31,33,33,32,4,33,34,40,32,34,29,34,34,33,29,20,32,32,32,32,36,33,29,29,33,37,34,33,33
BUI,34,32,34,19,35,30,34,31,29,33,32,31,32,34,31,30,32,29,38,29,33,34,36,35,25,31,38,31,44,36,34,37,31,36,37,33,34,33,35,40,38,34,37,33,27,33,31,31,38,30,35,34,36,33,32,32,30,35,37,33,31,33,38,37,32,32,39,32,28,34,37,35,31,33,33,32,29,35,34,32,31,30,31,32,31,33,35,31,38,22,20,34,7,32,32,31,30,31,35,36,34,14,31,31,38,38,33,30,38,31,20,36,38,32,21,32,19,35,31,35,35,37,16,33,32,30,32,37,38,32,32,28,34,18,33,32,34,34,34,31,32,33,32,32,40,26,32,28,30,23,36,32,37,32,37,38,29,30,30,23,29,37,22,32,34,35,32,31,33,30,3,34,38,34,30,36,27,33,36,31,28,19,39,33,33,30,29,34,30,30,32,33,33,38,38
CAP,34,34,37,20,38,31,38,32,32,36,34,34,33,35,33,30,35,33,41,28,36,37,38,39,27,33,40,32,36,44,33,38,34,37,38,37,34,37,37,39,39,38,41,36,31,36,34,34,37,33,40,37,36,36,34,32,33,36,37,35,34,36,39,38,36,35,40,35,30,37,37,40,33,39,37,35,32,36,35,33,32,33,32,36,34,36,36,32,37,24,21,35,7,35,31,31,32,33,36,37,35,17,33,34,40,39,33,32,40,35,23,38,42,36,23,35,24,36,33,38,40,40,17,35,35,33,36,40,40,34,35,30,34,21,37,36,37,37,37,34,37,35,36,33,37,28,34,29,32,26,40,34,42,35,39,38,32,32,32,25,31,39,22,36,35,36,34,34,36,32,3,33,39,36,34,39,29,36,39,34,28,21,37,33,34,33,31,37,30,32,37,34,35,37,37
CAM,35,34,33,18,33,29,35,35,36,36,35,32,35,43,30,33,34,31,40,30,38,35,33,38,32,33,38,36,34,33,46,36,36,31,33,35,44,35,30,36,35,36,36,35,30,36,33,34,33,30,37,38,40,38,29,31,32,33,36,36,35,37,34,36,33,37,40,35,26,38,37,34,32,35,35,35,30,43,42,37,35,33,33,35,33,39,40,35,38,22,23,41,6,34,38,38,31,35,33,35,35,14,32,33,36,35,42,31,37,32,21,34,36,34,21,33,21,39,32,35,34,36,15,40,35,37,34,35,40,34,35,31,43,21,35,38,36,38,40,34,35,37,35,39,38,25,31,28,29,23,33,35,39,34,34,38,34,33,33,25,28,37,21,34,41,35,31,35,36,33,3,36,38,42,32,38,27,33,35,36,31,20,35,37,35,33,36,37,32,31,34,41,37,36,38
